Classement	Ville	Région	Nb habitants
251	Mont-de-Marsan	Aquitaine	31 018
252	Maubeuge	Nord-Pas-de-Calais	30 994
253	Nogent-sur-Marne	Île-de-France	30 884
254	Les Mureaux	Île-de-France	30 760
255	Clichy-sous-Bois	Île-de-France	30 720
256	La Possession	La Réunion	30 653
257	Dieppe	Haute-Normandie	30 632
258	Chatou	Île-de-France	30 585
259	Vandœuvre-lès-Nancy	Lorraine	30 569
260	Malakoff	Île-de-France	30 420
261	Palaiseau	Île-de-France	30 268
262	Pontoise	Île-de-France	30 164
263	Charenton-le-Pont	Île-de-France	30 148
264	Rillieux-la-Pape	Rhône-Alpes	30 140
